"X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
-6.09675,-0.0540557,0.32829,-90.4073,-99.338,-3.44189,1.52584,-4.0093,-95.954,77.2846,-0.366904,21.2687,88.5285,7.16791,-6.99038,-78.7548,3.29884,-2.47815,2.21649,1.27362,-46.5581,-54.3912,16.0377,98.985,21.7447,-25.5223,-22.0883,31.2858,99.8388,57.1854,-89.9178,13.3552,11.2828,99.762,41.3872,-63.3289,-26.1249,42.7876,-98.9486
-6.30206,-0.0734884,0.262091,-98.585,-99.1391,-3.50495,1.50915,-0.411089,-95.673,75.5886,-1.78519,21.2236,94.2871,6.51364,-6.94735,-71.9255,3.2368,-2.00109,2.50193,1.16505,-46.8271,-55.2673,15.7431,97.6968,21.4351,-25.7378,-21.2818,31.3937,99.8091,56.7762,-89.4959,13.4373,11.0164,99.2284,41.3309,-62.7109,-26.1457,42.5883,-98.5759
-6.30206,-0.0485597,0.29653,-98.8969,-99.1391,-3.50495,1.54002,-0.453932,-95.6717,75.599,-1.79863,21.2427,94.5018,6.51364,-6.94711,-71.9306,3.31208,-2.00109,2.20946,1.15284,-46.8115,-55.2598,15.7431,97.6528,21.4393,-25.7796,-21.2737,31.3937,99.8091,56.7828,-89.4959,13.4373,11.015,99.2614,41.3133,-62.709,-26.139,42.5641,-98.5759
-6.3732,-0.0698243,0.370227,-99.5979,-99.0658,-3.55121,1.48496,-0.34065,-95.8654,77.2622,-2.00179,21.3724,94.7596,6.66525,-6.99612,-71.8706,3.23062,-1.93941,2.20655,1.53659,-46.808,-55.1687,15.6971,97.6301,21.7432,-25.4129,-21.5195,31.2469,99.775,56.6841,-89.5563,13.4324,11.098,99.357,41.3341,-63.4648,-26.259,42.5933,-98.8579
-6.31084,-0.0601885,0.36398,-99.5692,-99.1529,-3.46344,1.46389,-0.401189,-95.8237,77.2958,-1.95498,21.3594,94.6234,6.65984,-7.00681,-71.8865,3.23419,-1.98679,2.22173,1.35029,-46.8553,-55.1676,15.906,97.6306,21.7848,-25.8608,-21.5346,31.2637,99.6598,57.1198,-89.5355,13.3635,11.0438,99.1914,41.346,-63.6572,-26.2336,42.5948,-98.779
-5.64927,-0.0508954,0.332105,-90.367,-99.3382,-3.45556,1.54979,-3.95265,-95.9504,77.2814,-0.383786,21.2601,88.5435,7.14801,-6.72516,-78.4733,3.30439,-2.45444,2.26009,1.2688,-46.5424,-54.3548,16.0662,98.9716,21.7314,-25.5977,-22.2065,31.2458,99.766,57.2607,-89.8385,13.3469,11.1833,99.7076,41.3979,-63.3287,-26.123,42.8029,-98.9615
-6.33,-0.0574679,0.380563,-99.5692,-99.0799,-3.50313,1.48695,-0.299835,-95.8656,77.2848,-2.00661,21.1969,94.6928,6.66041,-6.99317,-71.8539,3.28813,-2.01741,2.21291,1.50474,-46.8837,-55.1424,15.6865,97.6442,21.7434,-25.4036,-21.5056,31.2478,99.7634,56.8279,-89.5313,10.9192,11.077,99.2395,41.3296,-63.4081,-26.5917,42.7746,-98.8444
-6.06732,-0.0520785,0.340981,-90.3779,-99.3021,-3.47311,1.58803,-3.95265,-95.8498,77.2579,-0.383786,21.2601,88.5193,7.14801,-6.71794,-78.4899,3.30439,-2.45444,2.24855,1.2688,-46.5424,-54.3748,16.0662,98.9852,21.7314,-25.6297,-22.2065,31.2738,99.766,57.2381,-89.8385,13.3538,10.9311,99.7075,41.3928,-63.3157,-26.1249,42.8029,-98.9949
-6.3627,-0.0698243,0.401475,-99.5911,-99.0698,-3.5812,1.48496,-0.34065,-95.8672,77.2622,-2.00179,21.3724,94.7596,6.68653,-6.99916,-71.8706,3.23062,-1.93153,2.22864,1.53659,-46.808,-55.1518,15.6927,97.6301,21.7464,-25.4129,-21.5124,31.2349,99.7822,56.7902,-89.5563,13.4188,11.098,99.3573,41.3347,-63.4648,-26.259,42.5933,-98.8384
-6.30206,-0.0734884,0.25792,-98.5178,-99.1391,-3.50495,1.50915,-0.400656,-95.6845,75.5886,-1.78519,21.2236,94.2848,6.52282,-6.94735,-71.9255,3.2368,-2.02267,2.20946,1.16505,-46.8099,-55.2598,15.7303,97.6968,21.4428,-25.7545,-21.2818,31.3937,99.8103,56.7762,-89.4959,13.445,11.0164,99.2614,41.3309,-62.7136,-26.139,42.2291,-98.5552
-6.24844,-0.0639345,0.332186,-90.3779,-99.2486,-3.43871,1.55364,-4.23275,-95.9504,77.2908,-0.378541,21.2687,88.5107,7.18216,-7.01736,-78.5208,3.31277,-2.45444,2.20508,1.27659,-46.5517,-54.4241,16.0618,98.9942,21.729,-25.6488,-22.2065,31.4347,99.7158,57.2702,-89.8858,13.3307,11.2904,99.7138,42.0363,-63.3287,-26.4178,42.8142,-98.9579
-6.3627,-0.0698243,0.401475,-99.5911,-99.0698,-3.5812,1.48496,-0.34065,-95.8672,77.2622,-2.00179,21.3724,94.7596,6.66434,-6.99916,-71.8706,3.23062,-1.93153,2.22864,1.53659,-46.808,-55.1518,15.6927,97.6301,21.7464,-25.4129,-21.5124,31.2349,99.7822,56.7902,-89.5563,13.4188,11.098,99.3573,41.3347,-63.4648,-26.259,42.5933,-98.8384
-6.34302,-0.0575213,0.380563,-99.578,-99.0695,-3.49525,1.48496,-0.5029,-95.8379,77.2848,-2.0168,21.3039,94.6944,6.65933,-6.9845,-71.9072,3.2912,-2.0214,2.15716,1.49882,-46.8819,-55.1261,15.6865,97.6697,21.7362,-25.3945,-21.5056,31.2452,99.7891,56.7927,-89.5518,10.9149,11.044,99.2275,41.3283,-63.3976,-26.5559,42.7298,-98.938
-6.30206,-0.0767881,0.29653,-98.8954,-99.1736,-3.50495,1.51229,-0.294846,-95.6717,75.5427,-1.78519,21.2234,94.1737,6.53183,-6.94711,-71.9281,3.24492,-1.994,2.19227,1.13079,-46.8067,-55.2598,15.7431,97.6711,21.4455,-25.7796,-21.2818,31.5493,99.8127,56.7828,-89.4959,13.4307,11.0184,99.2614,41.3309,-62.5824,-26.1437,42.571,-98.5759
-6.11229,-0.0540557,0.32829,-90.4073,-99.338,-3.44189,1.5256,-4.0093,-95.954,77.2846,-0.366904,21.2687,88.5281,7.174,-6.99038,-78.7548,3.29884,-2.47815,2.25901,1.27362,-46.5581,-54.3912,16.0377,99.0228,21.7447,-25.5223,-22.0883,31.2858,99.8388,57.1854,-89.9178,13.3552,11.2828,99.7763,41.3872,-63.3289,-26.1249,42.7876,-98.9486
-6.31719,-0.072152,0.380563,-99.5692,-99.0716,-3.50313,1.48695,-0.316307,-95.9651,77.2848,-2.01489,21.2036,94.6928,6.66041,-6.99317,-71.9036,3.28813,-2.01741,2.21291,1.50474,-46.8837,-55.1396,15.6865,97.6363,21.7536,-25.3927,-21.5056,31.2447,99.7634,56.7879,-89.5554,10.913,11.077,99.2193,41.3249,-63.4056,-26.5917,42.7746,-98.938
-6.28701,-0.0617698,0.401475,-99.5532,-99.1479,-3.47338,1.51709,-0.431759,-95.8341,77.3291,-1.97972,21.3594,94.6234,6.86418,-6.98821,-71.8886,3.21203,-2.0004,2.22173,1.35029,-46.8652,-55.155,15.8987,97.6418,21.7702,-25.863,-21.8987,31.2557,99.8333,56.7852,-89.5332,13.3586,10.9356,99.1914,41.3528,-63.4377,-26.048,42.5621,-98.775
-6.36511,-0.0607259,0.420654,-99.5497,-99.0772,-3.50163,1.48496,-0.34065,-95.8242,77.3386,-2.01973,21.2664,94.6911,6.66525,-6.84258,-71.85,3.79195,-1.94416,2.22538,1.50631,-46.8812,-55.1366,15.6927,97.6868,21.7315,-25.3761,-16.9864,31.2532,99.7486,56.7828,-89.5411,13.4324,11.063,99.2275,41.3737,-63.4334,-26.2647,42.5933,-98.8371
